JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 C-C1 s5 C-C2 s6 C-C3 s7 C1-C2 s8 C1-C3 s9 C2-C3 s10 HELCOR AIRMASS 
Aperture: 3, Filter: R, JD: geocentric
2456967.33672 1.4316 0.0060 -1.3598 0.0167 0.4480 0.0069 -0.8962 0.0123 -2.7914 0.0159 -0.9836 0.0046 -2.3278 0.0112 1.8078 0.0162 0.4636 0.0192 -1.3442 0.0117 0.00227 1.104 
2456967.34626 1.3689 0.0247 -1.6041 0.1043 0.3926 0.0292 -0.9403 0.0594 -2.9730 0.1019 -0.9763 0.0189 -2.3092 0.0550 1.9967 0.1031 0.6638 0.1153 -1.3329 0.0572 0.00227 1.112 
2456967.34925 1.4171 0.0075 -1.4306 0.0238 0.4121 0.0086 -0.9191 0.0161 -2.8477 0.0228 -1.0050 0.0056 -2.3362 0.0147 1.8427 0.0232 0.5115 0.0269 -1.3312 0.0153 0.00227 1.115 
2456967.35074 1.3722 0.0056 -1.4228 0.0168 0.3891 0.0066 -0.9910 0.0123 -2.7950 0.0162 -0.9831 0.0047 -2.3632 0.0113 1.8119 0.0165 0.4318 0.0195 -1.3801 0.0118 0.00227 1.116 
2456967.35223 1.3741 0.0056 -1.4446 0.0166 0.3933 0.0065 -1.0118 0.0123 -2.8187 0.0159 -0.9808 0.0044 -2.3859 0.0113 1.8379 0.0163 0.4328 0.0193 -1.4051 0.0118 0.00227 1.118 
2456967.35373 1.3239 0.0061 -1.4594 0.0180 0.3573 0.0070 -1.0100 0.0131 -2.7833 0.0173 -0.9666 0.0048 -2.3339 0.0120 1.8167 0.0176 0.4494 0.0208 -1.3673 0.0125 0.00227 1.119 
2456967.35522 1.3515 0.0058 -1.4607 0.0178 0.3763 0.0068 -1.0097 0.0131 -2.8122 0.0171 -0.9752 0.0047 -2.3612 0.0121 1.8370 0.0175 0.4510 0.0208 -1.3860 0.0126 0.00227 1.121 
2456967.35671 1.3228 0.0147 -1.4589 0.0505 0.3931 0.0171 -1.0217 0.0365 -2.7817 0.0487 -0.9297 0.0111 -2.3445 0.0342 1.8520 0.0495 0.4372 0.0591 -1.4148 0.0352 0.00227 1.122 
2456967.35821 1.3297 0.0066 -1.4707 0.0203 0.3734 0.0077 -1.0197 0.0148 -2.8004 0.0194 -0.9563 0.0051 -2.3494 0.0136 1.8441 0.0198 0.4510 0.0235 -1.3931 0.0141 0.00227 1.124 
2456967.35970 1.3575 0.0081 -1.4684 0.0269 0.3859 0.0094 -1.0325 0.0194 -2.8259 0.0260 -0.9716 0.0063 -2.3900 0.0181 1.8543 0.0264 0.4359 0.0314 -1.4184 0.0188 0.00227 1.126 
2456967.36593 1.3198 0.0088 -1.5390 0.0319 0.3212 0.0104 -1.0234 0.0210 -2.8588 0.0310 -0.9986 0.0071 -2.3432 0.0195 1.8602 0.0315 0.5156 0.0363 -1.3446 0.0203 0.00227 1.132 
2456967.37159 1.2924 0.0059 -1.5453 0.0188 0.3168 0.0068 -1.0534 0.0134 -2.8377 0.0181 -0.9756 0.0048 -2.3458 0.0125 1.8621 0.0185 0.4919 0.0218 -1.3702 0.0130 0.00227 1.139 
2456967.37309 1.2950 0.0056 -1.5433 0.0180 0.3104 0.0066 -1.0696 0.0126 -2.8383 0.0173 -0.9846 0.0046 -2.3646 0.0117 1.8537 0.0177 0.4737 0.0207 -1.3800 0.0122 0.00227 1.141 
2456967.37462 1.2842 0.0056 -1.5152 0.0180 0.3151 0.0066 -1.0374 0.0124 -2.7994 0.0173 -0.9691 0.0047 -2.3216 0.0115 1.8303 0.0177 0.4778 0.0206 -1.3525 0.0120 0.00227 1.143 
2456967.37612 1.3012 0.0066 -1.5498 0.0218 0.3175 0.0077 -1.0940 0.0153 -2.8510 0.0210 -0.9837 0.0053 -2.3952 0.0142 1.8673 0.0214 0.4558 0.0252 -1.4115 0.0148 0.00227 1.145 
2456967.37762 1.2982 0.0073 -1.5669 0.0257 0.2927 0.0087 -1.1275 0.0187 -2.8651 0.0249 -1.0055 0.0060 -2.4257 0.0176 1.8596 0.0254 0.4394 0.0303 -1.4202 0.0182 0.00227 1.147 
2456967.37911 1.2987 0.0084 -1.5994 0.0315 0.3103 0.0099 -1.0797 0.0210 -2.8981 0.0306 -0.9884 0.0068 -2.3784 0.0197 1.9097 0.0311 0.5197 0.0362 -1.3900 0.0204 0.00227 1.149 
2456967.38211 1.2543 0.0304 99.9999 9.9999 0.3355 0.0357 99.9999 9.9999 99.9999 9.9999 -0.9188 0.0230 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00227 1.152 
2456967.38360 1.2659 0.0200 99.9999 9.9999 0.3497 0.0233 -1.0771 0.0541 99.9999 9.9999 -0.9162 0.0152 -2.3430 0.0511 99.9999 9.9999 99.9999 9.9999 -1.4268 0.0525 0.00227 1.154 
2456967.38512 1.2704 0.0155 -1.6680 0.0654 0.2662 0.0186 -1.1826 0.0437 -2.9384 0.0639 -1.0042 0.0127 -2.4530 0.0415 1.9342 0.0647 0.4854 0.0759 -1.4488 0.0428 0.00227 1.157 
2456967.38662 1.2818 0.0153 99.9999 9.9999 0.3126 0.0180 -1.1213 0.0417 99.9999 9.9999 -0.9692 0.0119 -2.4031 0.0394 99.9999 9.9999 99.9999 9.9999 -1.4339 0.0406 0.00227 1.159 
