JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6 HELCOR AIRMASS 
Aperture: 5, Filter: V, JD: geocentric
2457070.46572 -2.2134 0.0103 -1.7853 0.0073 -1.5083 0.0060 0.4281 0.0123 0.7051 0.0116 0.2770 0.0091 0.00238 1.261 
2457070.46625 -2.2113 0.0105 -1.7709 0.0073 -1.5076 0.0063 0.4404 0.0125 0.7037 0.0119 0.2633 0.0092 0.00238 1.262 
2457070.46678 -2.2172 0.0103 -1.7685 0.0072 -1.5039 0.0061 0.4487 0.0122 0.7133 0.0116 0.2646 0.0090 0.00238 1.264 
2457070.46730 -2.1992 0.0101 -1.7784 0.0074 -1.4978 0.0060 0.4208 0.0122 0.7014 0.0114 0.2806 0.0091 0.00238 1.266 
2457070.46784 -2.1820 0.0100 -1.7820 0.0074 -1.5069 0.0061 0.4000 0.0121 0.6751 0.0114 0.2751 0.0092 0.00238 1.267 
2457070.46836 -2.1975 0.0104 -1.7742 0.0074 -1.5072 0.0061 0.4233 0.0124 0.6903 0.0117 0.2670 0.0092 0.00238 1.269 
2457070.46889 -2.2045 0.0103 -1.7862 0.0075 -1.4969 0.0061 0.4183 0.0124 0.7076 0.0116 0.2893 0.0092 0.00238 1.270 
2457070.46942 -2.2141 0.0106 -1.7910 0.0075 -1.5065 0.0061 0.4231 0.0127 0.7076 0.0119 0.2845 0.0093 0.00238 1.272 
2457070.46994 -2.1994 0.0104 -1.7815 0.0073 -1.5037 0.0061 0.4179 0.0124 0.6957 0.0117 0.2778 0.0091 0.00238 1.274 
2457070.47047 -2.2007 0.0105 -1.7822 0.0073 -1.5073 0.0061 0.4185 0.0125 0.6934 0.0118 0.2749 0.0091 0.00238 1.275 
2457070.47101 -2.1890 0.0103 -1.7747 0.0073 -1.4927 0.0061 0.4143 0.0123 0.6963 0.0116 0.2820 0.0091 0.00238 1.277 
2457070.47153 -2.1863 0.0106 -1.7624 0.0075 -1.5013 0.0061 0.4239 0.0126 0.6850 0.0119 0.2611 0.0092 0.00238 1.278 
2457070.47206 -2.2071 0.0106 -1.7670 0.0074 -1.5062 0.0062 0.4401 0.0126 0.7009 0.0120 0.2608 0.0092 0.00238 1.280 
2457070.47258 -2.2034 0.0103 -1.7732 0.0076 -1.5020 0.0063 0.4302 0.0125 0.7014 0.0117 0.2712 0.0094 0.00238 1.282 
2457070.47311 -2.2084 0.0103 -1.7855 0.0074 -1.5011 0.0060 0.4229 0.0123 0.7073 0.0116 0.2844 0.0091 0.00238 1.283 
2457070.47365 -2.2033 0.0104 -1.7791 0.0073 -1.5105 0.0060 0.4242 0.0124 0.6928 0.0117 0.2686 0.0091 0.00238 1.285 
2457070.47417 -2.2138 0.0103 -1.7789 0.0074 -1.4974 0.0060 0.4349 0.0124 0.7164 0.0116 0.2815 0.0092 0.00238 1.287 
2457070.47470 -2.2032 0.0104 -1.7672 0.0074 -1.5068 0.0062 0.4360 0.0124 0.6964 0.0118 0.2604 0.0092 0.00238 1.288 
2457070.47523 -2.2127 0.0106 -1.7749 0.0075 -1.5037 0.0062 0.4378 0.0126 0.7090 0.0120 0.2712 0.0093 0.00238 1.290 
2457070.47575 -2.2074 0.0101 -1.7801 0.0074 -1.5124 0.0061 0.4273 0.0122 0.6950 0.0115 0.2677 0.0092 0.00238 1.292 
2457070.47628 -2.1871 0.0102 -1.7885 0.0076 -1.4964 0.0061 0.3986 0.0124 0.6907 0.0116 0.2921 0.0094 0.00238 1.293 
2457070.47681 -2.1978 0.0105 -1.7971 0.0076 -1.5055 0.0060 0.4007 0.0126 0.6923 0.0118 0.2916 0.0093 0.00238 1.295 
2457070.47734 -2.2017 0.0104 -1.8003 0.0075 -1.4967 0.0061 0.4014 0.0125 0.7050 0.0117 0.3036 0.0092 0.00238 1.297 
2457070.47787 -2.1992 0.0103 -1.7946 0.0074 -1.5121 0.0062 0.4046 0.0123 0.6871 0.0117 0.2825 0.0092 0.00238 1.299 
2457070.47840 -2.1994 0.0107 -1.7832 0.0073 -1.5050 0.0060 0.4162 0.0126 0.6944 0.0119 0.2782 0.0090 0.00238 1.300 
2457070.47892 -2.1963 0.0102 -1.7786 0.0073 -1.5133 0.0061 0.4177 0.0122 0.6830 0.0116 0.2653 0.0091 0.00238 1.302 
2457070.47946 -2.2029 0.0105 -1.7741 0.0072 -1.5091 0.0060 0.4288 0.0124 0.6938 0.0118 0.2650 0.0089 0.00238 1.304 
2457070.47998 -2.2005 0.0107 -1.7839 0.0074 -1.5083 0.0060 0.4166 0.0127 0.6922 0.0119 0.2756 0.0092 0.00238 1.305 
2457070.48051 -2.2104 0.0102 -1.7883 0.0073 -1.5231 0.0061 0.4221 0.0122 0.6873 0.0116 0.2652 0.0091 0.00238 1.307 
2457070.48104 -2.1967 0.0104 -1.7868 0.0074 -1.5139 0.0061 0.4099 0.0124 0.6828 0.0117 0.2729 0.0092 0.00238 1.309 
2457070.48156 -2.1799 0.0106 -1.7820 0.0073 -1.5099 0.0061 0.3979 0.0125 0.6700 0.0119 0.2721 0.0091 0.00238 1.311 
