JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 V-C4 s5 C-C1 s6 C-C2 s7 C-C3 s8 C-C4 s9 C1-C2 s10 C1-C3 s11 C1-C4 s12 C2-C3 s13 C2-C4 s14 C3-C4 s15 HELCOR AIRMASS 
Aperture: 3, Filter: I, JD: geocentric
2456972.24005 -5.0709 0.0567 -2.6656 0.0067 99.9999 9.9999 -5.3070 0.0598 -5.3877 0.0660 2.4053 0.0571 99.9999 9.9999 -0.2361 0.0824 -0.3168 0.0870 99.9999 9.9999 -2.6414 0.0602 -2.7221 0.0663 99.9999 9.9999 99.9999 9.9999 -0.0807 0.0891 0.00333 2.213 
2456972.24074 -5.1452 0.0581 -2.8358 0.0078 99.9999 9.9999 -5.4211 0.0642 -5.3544 0.0617 2.3094 0.0586 99.9999 9.9999 -0.2759 0.0866 -0.2092 0.0847 99.9999 9.9999 -2.5853 0.0647 -2.5186 0.0622 99.9999 9.9999 99.9999 9.9999 0.0667 0.0890 0.00333 2.207 
2456972.24144 -5.1901 0.0759 -2.5807 0.0083 99.9999 9.9999 -5.3016 0.0789 -5.3245 0.0797 2.6094 0.0763 99.9999 9.9999 -0.1115 0.1095 -0.1344 0.1101 99.9999 9.9999 -2.7209 0.0793 -2.7438 0.0801 99.9999 9.9999 99.9999 9.9999 -0.0229 0.1121 0.00333 2.200 
2456972.24214 -5.1180 0.0565 -2.6788 0.0069 -6.1898 0.1313 -5.3511 0.0631 -5.3363 0.0625 2.4392 0.0569 -1.0718 0.1429 -0.2331 0.0847 -0.2183 0.0843 -3.5110 0.1315 -2.6723 0.0635 -2.6575 0.0629 0.8387 0.1457 0.8535 0.1454 0.0148 0.0888 0.00333 2.194 
2456972.24282 -5.1275 0.0574 -2.6489 0.0066 -6.1581 0.1193 -5.4182 0.0619 -5.3141 0.0561 2.4786 0.0578 -1.0306 0.1324 -0.2907 0.0844 -0.1866 0.0803 -3.5092 0.1195 -2.7693 0.0622 -2.6652 0.0565 0.7399 0.1344 0.8440 0.1318 0.1041 0.0835 0.00333 2.187 
2456972.24351 -5.0847 0.0514 -2.7877 0.0068 99.9999 9.9999 -5.3821 0.0543 -5.3756 0.0579 2.2970 0.0518 99.9999 9.9999 -0.2974 0.0748 -0.2909 0.0774 99.9999 9.9999 -2.5944 0.0547 -2.5879 0.0583 99.9999 9.9999 99.9999 9.9999 0.0065 0.0794 0.00333 2.181 
2456972.24419 -5.1409 0.0620 -2.5455 0.0066 99.9999 9.9999 -5.2767 0.0614 -5.4151 0.0703 2.5954 0.0623 99.9999 9.9999 -0.1358 0.0873 -0.2742 0.0937 99.9999 9.9999 -2.7312 0.0617 -2.8696 0.0706 99.9999 9.9999 99.9999 9.9999 -0.1384 0.0933 0.00333 2.174 
2456972.24486 -5.0674 0.0629 -2.5937 0.0075 99.9999 9.9999 -5.3626 0.0736 -5.2558 0.0667 2.4737 0.0633 99.9999 9.9999 -0.2952 0.0968 -0.1884 0.0917 99.9999 9.9999 -2.7689 0.0740 -2.6621 0.0671 99.9999 9.9999 99.9999 9.9999 0.1068 0.0993 0.00333 2.168 
2456972.24554 -5.1233 0.0493 -2.5602 0.0058 99.9999 9.9999 -5.3616 0.0529 -5.5332 0.0649 2.5631 0.0496 99.9999 9.9999 -0.2383 0.0723 -0.4099 0.0815 99.9999 9.9999 -2.8014 0.0532 -2.9730 0.0651 99.9999 9.9999 99.9999 9.9999 -0.1716 0.0837 0.00333 2.162 
2456972.24623 -5.1124 0.0436 -2.7839 0.0059 -6.1050 0.0909 -5.3799 0.0471 -5.2529 0.0438 2.3285 0.0440 -0.9926 0.1008 -0.2675 0.0642 -0.1405 0.0618 -3.3211 0.0911 -2.5960 0.0475 -2.4690 0.0442 0.7251 0.1024 0.8521 0.1009 0.1270 0.0643 0.00333 2.155 
